sumber,tanggal,judul,content,author,url,created_at
kompas,2026-02-02 19:10:35,"Viral Menu MBG Apel dan Ubi, SPPG di Indramayu Diberhentikan Sementara","INDRAMAYU,  – Satuan Pelayanan Pemenuhan Gizi (SPPG) di Desa Tegalmulya, Kecamatan Krangkeng, Kabupaten Indramayu diberi sanksi penutupan sementara hingga batas waktu yang belum ditentukan.

Penutupan ini imbas ramainya pembahasan di media sosial terkait SPPG setempat yang hanya menyediakan satu buah apel dan sisiran ubi sebagai menu Makan Bergizi Gratis ( MBG ).

Kondisi tersebut awal mulanya diungkap pengacara Toni RM usai mendapat laporan dari orangtua murid salah satu Raudhatul Athfal (RA), sekolah formal setara TK, sebagai penerima MBG.

Toni RM yang dikenal luas sebagai pengacara Pegi Setiawan pada kasus Vina Cirebon, lalu mempertanyakan menu tersebut dengan mengunggahnya ke media sosial hingga menarik perhatian publik.

“Jadi awalnya saya mendapat keluhan dari salah satu orangtua murid yang anaknya itu sekolah di RA Darusibyan, saat itu menerima MBG menunya hanya satu buah apel dan sisiran ubi,” ujar Toni saat dihubungi, Senin (2/2/2026).

Toni menilai, menu itu tidak sesuai dengan anggaran yang sudah disediakan oleh negara untuk program MBG.

Sepengetahuan Toni, Badan Gizi Nasional ( BGN ) diketahui menyiapkan anggaran sebesar Rp15.000 untuk satu porsi per anak.

Dari anggaran itu, alokasi menu untuk murid SD dan tingkatan di atasnya seharusnya setara dengan nilai Rp10.000 per porsi.

Kemudian anggaran untuk tingkatan TK maupun RA sebesar Rp 8 ribu per porsi.

“Dengan anggaran segitu, SPPG seharusnya sudah mendapat untung itu karena dari Rp15.000, hanya Rp10.000 yang dialokasikan untuk menu MBG dan untuk RA atau TK yang mesti dialokasikan untuk menu Rp8.000,” ujarnya.

Dari pemahaman Toni, satu buah apel dan sisiran ubi, nilainya jauh di bawah harga Rp8.000.

Ia pun mempertanyakan kondisi itu dan mengunggahnya di media sosial pada 30 Januari 2026.

Besoknya, Toni mendapat kabar BGN langsung merespons kondisi tersebut dengan memberikan sanksi penutupan sementara terhadap SPPG tersebut.

“Kenapa saya pertanyakan, karena ini uang rakyat yang digunakan untuk MBG, sehingga rakyat berhak mendapat penjelasan,” ujarnya.

Toni menyebut, sengaja menggugah kondisi tersebut ke media sosial sebagai bentuk kontrol masyarakat terhadap program MBG.",Reni Susanti,https://bandung.kompas.com/read/2026/02/02/191035178/viral-menu-mbg-apel-dan-ubi-sppg-di-indramayu-diberhentikan-sementara,2026-02-02 19:47:10
kompas,2026-02-02 18:36:00,"Arahan Prabowo ke BGN soal MBG, Kejar Target dan Tingkatkan Kualitas","BOGOR,  - Presiden Prabowo Subianto memberikan arah kepada Badan Gizi Nasional (BGN), khususnya program Makan Bergizi Gratis (MBG), dalam Rapat Koordinasi Nasional (Rakornas) Pemerintah Pusat dan Daerah 2026 di Sentul International Convention Center (SICC) Kabupaten Bogor, Senin (2/2/2026).

Kepala BGN Dadan Hindayana mengungkapkan, Kepala Negara meminta lembaganya untuk bekerja mencapai target dengan catatan meningkatkan kualitas.

“Ya pertama Pak Presiden menyampaikan bahwa BGN harus tetap bekerja dengan cermat. Target dikejar tapi kualitas dan keamanan harus ditingkatkan. Itu arahan Pak Presiden,” kata Dadan, Senin.

Dadan bersyukur kepada Tuhan karena BGN telah membentuk 22.275 Satuan Pelayanan Pemenuhan Gizi (SPPG) yang melayani 60,7 juta penerima.

Bahkan, tahun 2026 ini, BGN bakal membentuk Tim Akreditasi Sertifikasi demi meningkatkan kualitas SPPG yang tersebar di seluruh Indonesia.

Ia mengatakan, tim tersebut akan melakukan penilaian dan pengelompokan SPPG berdasarkan kualitas, mulai dari kategori unggul dengan nilai A, sangat baik dengan nilai B, hingga baik dengan nilai C.

Selain itu, terdapat pula SPPG yang dinilai masih perlu pembinaan agar dapat terus melanjutkan kegiatannya.

Dadan menambahkan, langkah BGN pada 2026 akan difokuskan pada peningkatan kualitas layanan serta penambahan edukasi kepada penerima manfaat.

Dengan demikian, penerima manfaat tidak hanya memperoleh intervensi pemenuhan gizi, tetapi juga edukasi mengenai pemilihan makanan sehat.

“Ya untuk yang kita berikan kartu kuning itu karena dia mengambil bahan baku jadi dari luar sehingga tidak terawasi cara masaknya. Dan kita akan berikan peringatan cukup keras hal tersebut,” ujar dia.

“Kemudian untuk beberapa SPPG sekarang kita akan umumkan beberapa menu yang harus dihindari terutama karena ketika menu itu dikonsumsi aman untuk kelompok kecil, ketika menjadi kelompok besar itu harus dengan quality control yang lebih saksama,” tambah dia.",Robertus Belarminus,https://nasional.kompas.com/read/2026/02/02/18360041/arahan-prabowo-ke-bgn-soal-mbg-kejar-target-dan-tingkatkan-kualitas,2026-02-02 19:47:10
kompas,2026-02-02 18:00:37,BGN Minta Maaf atas Peristiwa Keracunan MBG di Kudus,"JAKARTA,  - Badan Gizi Nasional (BGN) meminta maaf atas peristiwa keracunan yang dialami oleh ratusan pelajar SMA Negeri 2 Kudus, Jawa Tengah, akhir Januari 2026.

Kepala BGN Dadan Hindayana menyatakan, pihaknya sudah melakukan investigasi atas peristiwa tersebut.

Hal ini disampaikan Dadan usai menghadiri Rapat Koordinasi Nasional (Rakornas) Pemerintah Pusat dan Daerah Tahun 2026 di Sentul International Convention Center (SICC), Bogor, Senin (2/2/2026).

""Pertama, saya sebagai Kepala Badan Gizi Nasional meminta maaf kepada para penerima manfaat yang mengalami kejadian yang kurang menyenangkan. Dan kami sudah melakukan investigasi, analisis untuk beberapa Satuan Pelayanan Pemenuhan Gizi (SPPG) yang mengalami kejadian,"" kata Dadan, Senin.

Dadan mengungkapkan, berdasarkan investigasi, pihaknya akan memberikan kartu kuning kepada Satuan Pelayanan Pemenuhan Gizi (SPPG) jika menyalahi prosedur tingkat berat.

Selanjutnya, ia akan mengevaluasi dan menyetop SPPG itu untuk sementara waktu.

""Untuk yang kita berikan kartu kuning itu karena dia mengambil bahan baku jadi dari luar sehingga tidak terawasi cara masaknya. Dan kita akan berikan peringatan cukup keras hal tersebut,"" beber dia.

Di sisi lain, BGN melakukan evaluasi terhadap menu-menu yang disajikan imbas insiden itu.

Ia tidak menutup kemungkinan, menu-menu yang berpotensi menimbulkan kejadian luar biasa akan dihindari.

""Jadi, beberapa menu mungkin harus kita hindarkan supaya kejadian tidak terulang kembali. Dan saya kira kami akan membuat edaran supaya program makan bergizi bisa berjalan lebih aman,"" ujar Dadan.

Sebelumnya diberitakan, ratusan pelajar SMA Negeri 2 Kudus , Jawa Tengah, dilaporkan mengalami gangguan kesehatan setelah mengonsumsi menu Makan Bergizi Gratis (MBG). Peristiwa keracunan MBG di SMAN 2 Kudus membuat puluhan siswa harus mendapatkan penanganan medis, sementara ratusan lainnya mengalami gejala ringan.

Berdasarkan catatan Dinas Kesehatan Kabupaten Kudus hingga Kamis (29/1/2026), jumlah siswa yang kondisinya cukup serius hingga memerlukan perawatan di rumah sakit mencapai 118 orang.

Para siswa tersebut dirawat di sejumlah fasilitas kesehatan yang tersebar di wilayah Kudus.

Pelaksana Tugas Kepala Dinas Kesehatan Kudus, Mustiko Wibowo, mengungkapkan bahwa proses pendataan masih terus dilakukan.

""Hasil pendataan kami hingga saat ini jumlah siswa yang dirawat mencapai 118 orang dan tersebar di tujuh rumah sakit,” ujar Mustiko, di Kabupaten Kudus, dikutip dari Kompas Tv, Kamis (29/1/2026).

Dari total 1.178 siswa SMAN 2 Kudus, sekitar 600 siswa dilaporkan mengalami gejala keracunan dengan tingkat keparahan yang berbeda-beda.

Meski demikian, sebagian besar siswa dan guru memilih menjalani perawatan secara mandiri di rumah karena keluhan yang dialami tergolong ringan.",Robertus Belarminus,https://nasional.kompas.com/read/2026/02/02/18003791/bgn-minta-maaf-atas-peristiwa-keracunan-mbg-di-kudus,2026-02-02 19:47:10
kompas,2026-02-02 15:04:50,Prabowo Klaim MBG Sudah Terdistribusi ke 60 Juta Orang,"JAKARTA,  - Presiden Prabowo Subianto mengatakan, program Makan Bergizi Gratis (MBG) kini sudah menyentuh 60 juta penerima manfaat dalam setahun terakhir.

Hal ini disampaikannya pada Rapat Koordinasi Nasional (Rakornas) Pemerintah Pusat dan Daerah Tahun 2026 di Sentul International Convention Center (SICC), Bogor, Senin (2/2/2026).

""Alhamdulillah hari ini, tadi malam saya cek ke Kepala BGN (Dadan Hindayana), kita sudah mencapai 60 juta penerima manfaat. 60 juta dalam 1 tahun 4 bulan 5 bulan,"" kata Prabowo, Senin.

Prabowo menyampaikan, capaian itu semula dinafikan oleh banyak pihak.

Mereka menganggap Indonesia tidak akan mampu menjangkau puluhan juta orang menjadi penerima MBG dalam setahun.

Pihak-pihak itu pun meramalkan akan terjadi keracunan massal akibat program itu.

Padahal, kata Prabowo, makan di restoran paling mahal di Jakarta pun tidak serta-merta membuat orang terbebas dari keracunan.

""Kita makan di restoran paling mahal di Jakarta aja ada yang keracunan. Kalau kita jumlahkan, berapa ribu yang keracunan dibandingkan berapa miliar makanan yang sudah kita bagi, statistiknya adalah 0,008 atau 7,"" ucap Prabowo.

""Artinya apa? Artinya 99,99 usaha MBG harus dinyatakan berhasil,"" imbuh dia.

Lebih lanjut Prabowo mengaku tidak mengerti mengapa banyak orang yang nyinyir dengan MBG.

Ia menduga, perlawanan itu berasal dari lawan politiknya, sehingga segala program yang ia buat selalu akan diserang.

""Saya tidak mengerti, mungkin dasarnya adalah lawan politik, apa saja dibuat harus diserang, harus dijelek-jelekin, ya inilah usaha kita untuk menjelaskan,"" kata Prabowo.

Menurut rencana, program ini akan menyasar sekitar 82,9 juta paling lambat pada Desember 2026.

Jumlah itu senada dengan total Satuan Pelayanan Pemenuhan Gizi (SPPG) atau dapur umum yang terus bertambah.

Hingga kini, jumlah dapur umum yang telah beroperasi mencapai 22.275 unit, sedangkan 13.829 unit dalam tahap penilaian.

""Dengan 22.000 (SPPG) saja sekarang kita sudah menciptakan lapangan kerja 1 juta. 22.000 kali 50 orang yang digaji setiap hari, sudah kita ciptakan lapangan kerja 1 juta. Dan 22.000 dapur itu, membutuhkan pemasok tomat, wortel, sayur, telur, ikan, ayam, daging, dan sebagainya di tiap desa,"" kata Prabowo.",Ardito Ramadhan,https://nasional.kompas.com/read/2026/02/02/15045031/prabowo-klaim-mbg-sudah-terdistribusi-ke-60-juta-orang,2026-02-02 19:47:10
kompas,2026-02-02 14:58:35,Prabowo Ungkap Pakar White House Pelajari MBG Indonesia,"JAKARTA,  - Presiden Prabowo Subianto mengungkapkan ahli dari Gedung Putih (White House) tengah mempelajari program Makan Bergizi Gratis (MBG) yang dikembangkan Indonesia.

""Saya hanya ingin beritahu, saya baru satu hari lalu para ahli pakar dari White House sedang mempelajari MBG kita sendiri,"" kata Prabowo saat memberikan taklimat dalam Rapat Koordinasi Nasional (Rakornas) Pemerintah Pusat dan Daerah Tahun 2026 di Sentul International Convention Center (SICC), Bogor, Senin (2/2/2026).

Ia menyebut, ahli tersebut merupakan salah satu dari sekian banyak pakar luar negeri yang mempelajari cara Indonesia mendistribusikan MBG.

Hal ini tak lain karena Indonesia mampu mendistribusikan MBG kepada lebih dari 60 juta penerima dalam setahun terakhir, ketika banyak negara tidak bisa melakukannya.

Selain dari Gedung Putih, pakar dari Rockefeller Institute juga disebut mengamati MBG

Bahkan, kata Prabowo, Rockefeller Institute menyebut bahwa MBG adalah investasi terbaik yang dilakukan oleh sebuah negara, saat ia bertemu rombongan dalam 3-4 bulan terakhir.

""Investasi terbaik yang bisa dilakukan suatu negara. Satu dollar atau Rp 1 yang kita keluarkan untuk makan bergizi akan menimbulkan lipat ganda minimal 5 kali. Dan dalam jangka panjang akan 35 kali investasi,"" ungkap Prabowo.

Lebih lanjut Kepala Negara menyampaikan, MBG kini sudah diterima oleh 60 juta penerima manfaat .

Capaian itu semula dinafikan oleh banyak pihak.

Mereka menganggap Indonesia tidak akan mampu menjangkau puluhan juta orang menjadi penerima MBG dalam setahun.

Mereka pun meramalkan akan terjadi keracunan massal akibat program itu.

Padahal, kata Prabowo, makan di restoran paling mahal di Jakarta pun tidak serta-merta membuat orang terbebas dari keracunan.

""Kita makan di restoran paling mahal di Jakarta aja ada yang keracunan. Kalau kita jumlahkan, berapa ribu yang keracunan dibandingkan berapa miliar makanan yang sudah kita bagi, statistiknya adalah 0,008 atau 7,"" ucap dia. ""Artinya apa? Artinya 99,99 usaha MBG harus dinyatakan berhasil,"" imbuh dia.

Menurut rencana, program ini akan menyasar sekitar 82,9 juta paling lambat pada Desember 2026.

Jumlah itu senada dengan total Satuan Pelayanan Pemenuhan Gizi (SPPG) atau dapur umum yang terus bertambah.

Hingga kini, jumlah dapur umum yang telah beroperasi mencapai 22.275 unit.

Sementara itu, 13.829 unit dalam tahap penilaian.

""Dengan 22.000 (SPPG) saja sekarang kita sudah menciptakan lapangan kerja 1 juta. 22.000 kali 50 orang yang digaji setiap hari, sudah kita ciptakan lapangan kerja 1 juta. Dan 22.000 dapur itu, membutuhkan pemasok tomat, wortel, sayur, telur, ikan, ayam, daging, dan sebagainya di tiap desa,"" kata Prabowo.",Ardito Ramadhan,https://nasional.kompas.com/read/2026/02/02/14583581/prabowo-ungkap-pakar-white-house-pelajari-mbg-indonesia,2026-02-02 19:47:10
kompas,2026-02-02 13:31:06,Lebih Prioritas Mana: MBG atau Penciptaan Lapangan Kerja?,"PERNYATAAN Rachmat Pambudy selaku Menteri Perencanaan Pembangunan Nasional/Kepala Bappenas mengenai prioritas Program Makan Bergizi Gratis (MBG) dibanding pembukaan lapangan kerja memantik perbincangan luas di ruang publik.

Dalam forum ekonomi Prasasti (29/1), ia menegaskan bahwa kedua program sama-sama penting. Namun MBG , dinilai lebih mendesak untuk segera direalisasikan sebagai agenda utama pemerintah.

Pernyataan ini kemudian memunculkan respons kritis dari masyarakat yang menilai bahwa penyediaan lapangan kerja justru merupakan kebutuhan yang lebih fundamental.

Dari sinilah lahir pertanyaan klasik yang kembali relevan: mana yang seharusnya diprioritaskan—pemenuhan gizi gratis atau kesempatan kerja?

Dengan alokasi anggaran yang sangat besar dalam APBN 2026, MBG diproyeksikan menjadi kebijakan nasional yang strategis dalam jangka panjang.

Selain aspek kesehatan, program ini juga diharapkan berdampak pada peningkatan kapasitas kognitif peserta didik yang pada akhirnya tercermin dalam indikator pendidikan internasional seperti skor PISA.

Dalam tataran normatif, MBG memiliki dimensi keadilan sosial karena menyasar kelompok rentan dan keluarga berpenghasilan rendah yang kesulitan memenuhi kebutuhan nutrisi harian.

Berbagai studi internasional, termasuk praktik serupa di negara lain, menunjukkan bahwa program makan gratis di sekolah dapat meningkatkan partisipasi belajar, prestasi akademik, serta kesejahteraan psikososial anak.

Namun, di tingkat implementasi, persoalan muncul. Ketimpangan distribusi, kualitas menu yang tidak selalu sesuai standar gizi, hingga kasus keracunan makanan memperlihatkan adanya jarak antara desain kebijakan dan praktik di lapangan.

Pertanyaan yang kemudian mengemuka bukan lagi sekadar apakah MBG bermanfaat, melainkan sejauh mana kebijakan dengan anggaran besar ini mampu menjawab persoalan yang lebih mendasar seperti kemiskinan struktural, ketimpangan sosial, dan disparitas akses pelayanan publik.

Di titik inilah MBG memperlihatkan keterbatasannya sebagai instrumen yang lebih bersifat kuratif dibanding transformasional.

Di sisi lain, persoalan pengangguran di Indonesia masih menunjukkan kompleksitas yang tinggi.

Tingkat pengangguran yang melibatkan jutaan penduduk, terutama dari kelompok usia muda, menjadi indikator bahwa persoalan ekonomi tidak berdiri sendiri, melainkan berkaitan erat dengan mobilitas sosial dan ketimpangan kesempatan.

Tingginya angka pengangguran berbanding lurus dengan tingkat kemiskinan, yang pada akhirnya berdampak pada kualitas gizi, pendidikan, dan kesehatan generasi berikutnya.",Sandro Gatra,https://money.kompas.com/read/2026/02/02/133106426/lebih-prioritas-mana-mbg-atau-penciptaan-lapangan-kerja,2026-02-02 19:47:10
kompas,2026-02-02 12:37:17,"Prabowo: Saya Kalah di Sumatera Barat, MBG Tetap Sampai","JAKARTA,  - Presiden Prabowo Subianto mengaku tidak pernah memilih-milih seseorang berdasarkan pilihan politiknya, terlihat dari program-program prioritas pemerintah tetap dijalankan di wilayah yang bukan daerah pendukungnya.

Hal ini disampaikan Prabowo dalam taklimatnya pada Rapat Koordinasi Nasional (Rakornas) Pemerintah Pusat dan Daerah Tahun 2026 di Sentul International Convention Center (SICC), Bogor, Senin (2/2/2026).

""Saya tidak akan tanya, ini gubernurnya partai mana, gitu kan? Dulu milih calon nomor 1, nomor 2, nomor 3, saya enggak akan tanya. Buktinya, saya kalah di Sumatera Barat, benar? Tapi tetap MBG sampai ke Sumatera Barat,"" kata Prabowo, Senin.

Kepala Negara mengatakan, Koperasi Desa Merah Putih pun tetap ia bangun dan rehabilitasi di Sumatera Barat.

Ia juga mengeklaim terus membangun Aceh, meski ia tidak mendulang kemenangan suara di wilayah tersebut.

""Saya juga kalah di Aceh, kan? Tapi tetap kita bangun Aceh habis-habisan,"" ucap dia.

Menurut Prabowo, hal itu dilakukannya tak lain karena merasa bertanggung jawab sebagai presiden yang dipilih oleh rakyat.

Ia mengatakan, Indonesia membutuhkan persatuan , bukan permusuhan dan rasa saling sakit hati karena hasil pemilu.

""Enggak ada. Tidak boleh ada permusuhan, tidak boleh ada sakit hati. Kalah menang biasa, karena kita mengabdi untuk bangsa dan rakyat Indonesia,"" tutur Prabowo.

Oleh karena itu, Prabowo mengajak semua pihak termasuk kepala daerah di seluruh provinsi untuk bersatu tanpa memandang partai politik manapun.

Ia menyatakan, segala permusuhan, pertikaian, dan perang yang diwariskan oleh pendahulu dan kakek buyut, tidak akan ada gunanya selain hanya memecah belah.

""Saudara-saudara, kita bersatu. Tidak ada urusan Saudara berasal dari partai mana. Jangan kita terlibat dalam apa itu? Dalam sekat-sekat yang timbul karena sejarah. Kita belajar dari sejarah,"" kata Prabowo.",Ardito Ramadhan,https://nasional.kompas.com/read/2026/02/02/12371761/prabowo-saya-kalah-di-sumatera-barat-mbg-tetap-sampai,2026-02-02 19:47:10
kompas,2026-02-02 11:51:01,"Diduga Belum Terima Anggaran, SPPG di Magetan Hentikan Pengiriman MBG","MAGETAN,  – Program Makan Bergizi Gratis (MBG) dari Satuan Pelayanan Pemenuhan Gizi (SPPG) Baron di Kabupaten Magetan, Jawa Timur dihentikan sementara akibat anggaran yang belum cair.

Penghentian layanan tersebut berdampak langsung pada siswa sekolah dasar yang selama ini menerima menu MBG setiap pagi.

Pantauan di SDN Baron 2 sejumlah siswa terlihat membawa dan menyantap bekal dari rumah.

Aliva, siswi kelas 1 SDN Baron 2, tampak asyik menyantap nasi goreng yang dibawanya sendiri. Ia mengaku tidak menerima menu MBG karena pengiriman dari SPPG Baron dihentikan.

“Menunya nasi goreng sama telur. Yang masakin emak. Hari ini nggak ada MBG,” ujar Aliva di sekolahnya, Senin (2/2/2026).

Hal serupa disampaikan Aditya, siswa lain di sekolah tersebut.

Ia mengaku membawa bekal sendiri karena tidak mendapat kiriman MBG. Aditya juga mengatakan hari ini tidak mengonsumsi buah seperti biasanya.

“Saya suka buah. Biasanya ada anggur, apel, pisang. Kalau sayurnya saya suka wortel. Hari ini makan nasi sama telur sama mie, bawa dari rumah, tadi dibuatkan ibu,” katanya sambil menyuap telur.

Sementara itu, Kepala SDN Baron 2, Anjar Rokhani, mengaku menerima pemberitahuan dari pihak SPPG Baron pada Minggu (1/2) bahwa layanan MBG dihentikan sementara.

SPPG Baron diketahui berjarak sekitar 30 meter dari sekolah.

Menindaklanjuti informasi tersebut, pihak sekolah segera menyampaikan pemberitahuan kepada orang tua siswa agar membekali anak-anak mereka dengan makanan dari rumah.

“Karena pulangnya siang, kami beritahu orang tua untuk membawakan bekal kepada siswa. Biasanya kami menerima MBG pukul 07.30 WIB, jadi ada yang dibawakan dari rumah dan ada juga yang diantar ke sekolah saat jam istirahat,” imbuh Anjar.

Di sisi lain, kepala SPPG Baron enggan memberikan keterangan lebih lanjut terkait penghentian sementara layanan MBG. Ia hanya menyampaikan bahwa pada hari itu tidak ada karyawan yang masuk bekerja.

“Saya cuci piring sendiri karena tidak ada karyawan yang masuk. Kalau masalah penghentian operasional, tanya BGN ya,” katanya singkat.

Informasi yang diterima sejumlah orang tua siswa menyebutkan, layanan MBG di SPPG Baron dihentikan sementara karena belum adanya transfer anggaran dari pemerintah.",Aloysius Gonsaga AE,https://surabaya.kompas.com/read/2026/02/02/115101978/diduga-belum-terima-anggaran-sppg-di-magetan-hentikan-pengiriman-mbg,2026-02-02 19:47:10
kompas,2026-02-02 11:47:04,"Prabowo Pamer Ciptakan 1 Juta Lapangan Kerja dari MBG, Bisa Naik Jadi 5 Juta","JAKARTA,  - Presiden RI Prabowo Subianto menyatakan, program Makan Bergizi Gratis (MBG) yang telah menghasilkan 1 juta lapangan kerja lewat dengan adanya sekitar 22.000 dapur MBG yang memproduksi dan mendistribusikan MBG.

""Dengan 22.000 (dapur) saja, sekarang, kita sudah menciptakan lapangan kerja 1 juta, 22.000 kali 50 orang, yang digaji tiap hari. Sudah kita ciptakan lapangan kerja 1 juta,"" ujar Prabowo dalam Rapat Koordinasi Nasional Pemerintah Pusat dan Daerah Tahun 2026 di Sentul, Jawa Barat, Senin (2/2/2026).

Prabowo memaparkan, 22.000 dapur MBG tersebut membutuhkan pemasok, mulai dari tomat, wortel, sayur, telur, ikan, ayam, daging, dan sebagainya di setiap desa.

Dengan demikian, satu dapur MBG bisa menimbulkan pemasok sampai 10 atau 20 orang.

""Itu nanti di ujungnya, kalau kita sampai 82 juta (penerima), kita akan menciptakan 3-5 juta lapangan kerja,"" ucapnya.

Sementara itu, Prabowo menyadari bahwa rakyat membutuhkan pekerjaan.

Namun, ia mengingatkan bahwa lapangan pekerjaan itu tidak akan tercipta jika publik hanya berteriak dan mencela.

""Saya buktikan kepada saudara-saudara, Prabowo Subianto sebagai Presiden RI saya telah menghasilkan sekarang 1 juta lapangan kerja hanya dari MBG,"" imbuh Prabowo.",Ardito Ramadhan,https://nasional.kompas.com/read/2026/02/02/11470431/prabowo-pamer-ciptakan-1-juta-lapangan-kerja-dari-mbg-bisa-naik-jadi-5-juta,2026-02-02 19:47:10
kompas,2026-02-01 21:29:34,PSI Wajibkan Kadernya Bikin Dapur MBG di Setiap Provinsi,"JAKARTA,  - Partai Solidaritas Indonesia (PSI) memerintahkan kepada seluruh kadernya untuk membangun dapur program Makan Bergizi Gratis (MBG) di setiap provinsi di Indonesia.

Kader PSI diharuskan menghadirkan minimal satu dapur MBG di setiap provinsi,

Hal tersebut disampaikan Ketua Harian PSI Ahmad Ali saat membacakan kesimpulan Rakernas perdana PSI di Hotel Claro, Makassar, Sulawesi Selatan, Sabtu (31/1/2026).

"" Partai Solidaritas Indonesia berketetapan untuk memberikan dukungan penuh kepada program-program pemerintah yang strategis, terutama MBG,"" ujar Ali.

""Saya minta kepada seluruh pengurus partai, mulai dari tingkat DPW, sampai tingkat di bawahnya, harus terlibat aktif untuk melakukan pengawasan, dan bekerja bergotong royong untuk membangun MBG, setidaknya satu dapur untuk satu provinsi,"" sambungnya.

Ali menjelaskan, pembangunan dapur MBG ini harus dilaksanakan secara gotong royong agar berkontribusi terhadap program-program strategis pemerintah.

Dia menekankan bahwa pembangunan dapur MBG di setiap provinsi bersifat wajib.

""Ini adalah bentuk dukungan kita dan komitmen kita sebagai partai koalisi pemerintah,"" ucap Ali.

Sementara itu, Ali mengakui PSI belum bisa memberikan kontribusi yang banyak buat pemerintah.

Sebab, PSI belum pernah lolos ke DPR, sehingga aspirasi yang bisa diperjuangkan terbatas.",David Oliver Purba,https://nasional.kompas.com/read/2026/02/01/21293461/psi-wajibkan-kadernya-bikin-dapur-mbg-di-setiap-provinsi,2026-02-02 19:47:10
